epoch_index,wsmi_scalar,subject_id,band
624,-0.005337143509972656,patient2,alpha
625,-0.004930991285948065,patient2,alpha
626,-0.0033868250289642386,patient2,alpha
627,-0.0019674836389956853,patient2,alpha
628,-0.0024828021825554015,patient2,alpha
629,-0.005072574548123172,patient2,alpha
630,-0.005796639929503913,patient2,alpha
631,-0.006269749788959095,patient2,alpha
632,-0.006061013229591029,patient2,alpha
633,-0.007859934089147959,patient2,alpha
634,-0.00660238301237993,patient2,alpha
635,-0.006298086712133588,patient2,alpha
636,-0.004274136238122985,patient2,alpha
637,-0.006203576274666381,patient2,alpha
638,-0.004221782402950371,patient2,alpha
639,-0.0015395623652132233,patient2,alpha
640,-0.003533352257472224,patient2,alpha
641,-0.005766998724466636,patient2,alpha
642,-0.006045063228270632,patient2,alpha
643,-0.006550528023218278,patient2,alpha
644,-0.007161129742283659,patient2,alpha
645,-0.0062850177764252595,patient2,alpha
646,-0.0070076460932791875,patient2,alpha
647,-0.006596688132345754,patient2,alpha
648,-0.005776649602297216,patient2,alpha
649,-0.00647880531927475,patient2,alpha
650,-0.008806713283056851,patient2,alpha
651,-0.010234744622382401,patient2,alpha
652,-0.010296168473358508,patient2,alpha
653,-0.008867214685326514,patient2,alpha
654,-0.010267308993015626,patient2,alpha
655,-0.011731762130063909,patient2,alpha
656,-0.013053182932684756,patient2,alpha
657,-0.008952851776175474,patient2,alpha
658,-0.00862906053817979,patient2,alpha
659,-0.007657243255031754,patient2,alpha
660,-0.00812970968595691,patient2,alpha
661,-0.007772610937203192,patient2,alpha
662,-0.007850534687455186,patient2,alpha
663,-0.006539258828351762,patient2,alpha
664,-0.005795502202536384,patient2,alpha
665,-0.0019414198964627571,patient2,alpha
666,0.00023411531766731662,patient2,alpha
667,-0.0004066986028065976,patient2,alpha
668,-0.0003997912286154566,patient2,alpha
669,-0.002414939133343718,patient2,alpha
670,-0.0031586631239757757,patient2,alpha
671,-0.0017138263332268624,patient2,alpha
672,-0.0008915887563634994,patient2,alpha
673,0.0006486691904625879,patient2,alpha
674,-0.00038455477091086927,patient2,alpha
675,0.0005035104435103797,patient2,alpha
676,0.0008482585687001285,patient2,alpha
677,-0.00226471082820411,patient2,alpha
678,-0.002907112376314929,patient2,alpha
679,-0.006725091143939885,patient2,alpha
680,-0.004510511078378923,patient2,alpha
681,-0.005535069209365946,patient2,alpha
682,-0.006099375395010932,patient2,alpha
683,-0.007746033052348347,patient2,alpha
684,-0.005264701692963887,patient2,alpha
685,-0.006943635752168119,patient2,alpha
